0.502,0.504,0.516,0.484,0.468,0.48,0.495,0.484,0.485,0.482,0.51,0.475
0.482,0.488,0.48,0.5,0.498,0.517,0.47,0.52,0.484,0.492,0.48,0.501
0.507,0.479,0.509,0.468,0.468,0.473,0.485,0.469,0.486,0.476,0.515,0.484
0.47,0.485,0.463,0.473,0.5,0.516,0.483,0.515,0.486,0.491,0.472,0.493
0.477,0.532,0.479,0.458,0.49,0.49,0.484,0.464,0.474,0.482,0.505,0.484
0.494,0.498,0.496,0.445,0.511,0.483,0.477,0.527,0.501,0.485,0.481,0.494
0.478,0.519,0.473,0.456,0.481,0.477,0.49,0.483,0.493,0.481,0.511,0.492
0.497,0.471,0.489,0.471,0.516,0.458,0.482,0.524,0.474,0.49,0.483,0.45
0.493,0.495,0.505,0.474,0.455,0.473,0.496,0.484,0.466,0.484,0.516,0.474
0.478,0.486,0.486,0.482,0.509,0.5,0.454,0.455,0.47,0.479,0.465,0.51
0.486,0.496,0.497,0.475,0.468,0.474,0.485,0.48,0.477,0.493,0.507,0.488
0.484,0.484,0.447,0.48,0.465,0.504,0.489,0.531,0.501,0.489,0.482,0.49
0.502,0.504,0.516,0.485,0.468,0.479,0.494,0.484,0.485,0.482,0.51,0.475
0.483,0.488,0.48,0.5,0.499,0.517,0.469,0.52,0.484,0.492,0.481,0.501
0.507,0.479,0.509,0.467,0.469,0.473,0.485,0.47,0.485,0.476,0.515,0.485
0.469,0.483,0.463,0.473,0.5,0.515,0.483,0.515,0.488,0.49,0.472,0.492
0.477,0.531,0.478,0.459,0.491,0.489,0.483,0.463,0.475,0.482,0.504,0.484
0.494,0.496,0.496,0.445,0.511,0.483,0.476,0.528,0.502,0.486,0.481,0.495
0.479,0.52,0.473,0.455,0.481,0.477,0.491,0.483,0.492,0.481,0.512,0.491
0.497,0.471,0.489,0.47,0.516,0.458,0.483,0.524,0.474,0.489,0.482,0.452
0.492,0.494,0.505,0.473,0.455,0.475,0.497,0.484,0.466,0.483,0.516,0.474
0.479,0.485,0.487,0.483,0.51,0.501,0.454,0.455,0.468,0.48,0.464,0.509
0.486,0.496,0.497,0.474,0.469,0.474,0.486,0.479,0.477,0.495,0.507,0.488
0.483,0.485,0.446,0.479,0.465,0.504,0.489,0.531,0.501,0.489,0.482,0.488
0.501,0.504,0.517,0.484,0.468,0.479,0.494,0.485,0.486,0.483,0.509,0.477
0.482,0.488,0.479,0.498,0.497,0.516,0.468,0.52,0.483,0.492,0.481,0.501
0.507,0.479,0.51,0.468,0.469,0.473,0.484,0.469,0.485,0.476,0.515,0.484
0.47,0.486,0.463,0.472,0.498,0.515,0.484,0.515,0.487,0.49,0.471,0.493
0.477,0.532,0.479,0.458,0.489,0.49,0.484,0.462,0.475,0.481,0.506,0.485
0.493,0.497,0.497,0.445,0.511,0.482,0.476,0.526,0.5,0.486,0.482,0.495
0.478,0.52,0.474,0.455,0.482,0.477,0.491,0.482,0.494,0.481,0.512,0.492
0.495,0.471,0.49,0.471,0.515,0.457,0.482,0.524,0.474,0.491,0.483,0.45
0.493,0.494,0.505,0.473,0.455,0.474,0.496,0.482,0.466,0.483,0.515,0.473
0.478,0.486,0.486,0.482,0.509,0.5,0.454,0.457,0.468,0.48,0.465,0.509
0.486,0.496,0.496,0.473,0.469,0.473,0.485,0.478,0.477,0.491,0.507,0.488
0.484,0.485,0.448,0.48,0.464,0.504,0.49,0.532,0.502,0.489,0.481,0.488
0.501,0.504,0.516,0.484,0.468,0.479,0.494,0.486,0.486,0.482,0.509,0.476
0.481,0.488,0.479,0.5,0.498,0.517,0.47,0.52,0.484,0.492,0.481,0.501
0.507,0.48,0.51,0.467,0.468,0.473,0.485,0.469,0.485,0.475,0.515,0.486
0.471,0.485,0.463,0.473,0.501,0.516,0.483,0.515,0.488,0.491,0.473,0.493
0.477,0.532,0.479,0.458,0.49,0.491,0.483,0.464,0.475,0.48,0.504,0.485
0.494,0.497,0.497,0.445,0.512,0.481,0.475,0.527,0.5,0.487,0.481,0.495
0.478,0.52,0.473,0.457,0.481,0.476,0.491,0.481,0.494,0.481,0.511,0.491
0.497,0.471,0.489,0.471,0.516,0.457,0.482,0.524,0.474,0.49,0.483,0.451
0.492,0.494,0.504,0.475,0.456,0.475,0.496,0.482,0.465,0.483,0.516,0.473
0.478,0.485,0.487,0.481,0.509,0.502,0.454,0.456,0.47,0.479,0.465,0.51
0.485,0.497,0.497,0.474,0.468,0.474,0.486,0.478,0.477,0.493,0.508,0.489
0.483,0.484,0.447,0.479,0.465,0.504,0.49,0.531,0.501,0.49,0.481,0.488
0.502,0.505,0.518,0.484,0.468,0.479,0.495,0.485,0.486,0.483,0.51,0.476
0.483,0.489,0.48,0.5,0.498,0.517,0.47,0.519,0.484,0.492,0.481,0.501
0.506,0.479,0.509,0.467,0.469,0.473,0.485,0.468,0.486,0.476,0.515,0.484
0.471,0.486,0.463,0.473,0.501,0.516,0.483,0.514,0.486,0.491,0.472,0.493
0.476,0.531,0.478,0.458,0.49,0.489,0.484,0.464,0.475,0.482,0.505,0.484
0.494,0.496,0.496,0.445,0.511,0.482,0.476,0.527,0.499,0.486,0.482,0.496
0.477,0.518,0.472,0.455,0.482,0.476,0.49,0.482,0.493,0.48,0.513,0.492
0.498,0.472,0.488,0.47,0.516,0.459,0.482,0.524,0.473,0.49,0.483,0.45
0.494,0.494,0.505,0.473,0.455,0.474,0.496,0.482,0.465,0.484,0.516,0.473
0.479,0.485,0.487,0.481,0.509,0.501,0.454,0.456,0.468,0.479,0.465,0.508
0.486,0.497,0.497,0.472,0.469,0.475,0.485,0.479,0.478,0.495,0.508,0.488
0.483,0.485,0.446,0.48,0.465,0.503,0.489,0.532,0.501,0.489,0.482,0.489
0.502,0.503,0.516,0.486,0.469,0.48,0.495,0.485,0.486,0.483,0.51,0.475
0.481,0.489,0.48,0.5,0.499,0.517,0.469,0.519,0.484,0.491,0.481,0.501
0.507,0.48,0.511,0.465,0.468,0.473,0.484,0.469,0.487,0.476,0.515,0.484
0.469,0.485,0.463,0.472,0.5,0.516,0.484,0.516,0.488,0.489,0.472,0.493
0.476,0.531,0.479,0.458,0.49,0.49,0.484,0.463,0.474,0.482,0.505,0.484
0.494,0.497,0.497,0.445,0.51,0.482,0.477,0.527,0.501,0.485,0.481,0.495
0.478,0.52,0.473,0.453,0.482,0.476,0.489,0.481,0.494,0.481,0.512,0.491
0.496,0.473,0.489,0.472,0.515,0.458,0.483,0.524,0.473,0.49,0.482,0.452
0.494,0.494,0.505,0.474,0.456,0.475,0.496,0.483,0.466,0.483,0.516,0.473
0.478,0.485,0.488,0.481,0.509,0.501,0.454,0.458,0.469,0.478,0.466,0.509
0.486,0.496,0.497,0.474,0.47,0.477,0.485,0.479,0.477,0.495,0.507,0.488
0.484,0.484,0.446,0.479,0.465,0.503,0.489,0.532,0.504,0.489,0.482,0.488
0.502,0.505,0.517,0.486,0.468,0.478,0.495,0.485,0.485,0.483,0.511,0.476
0.482,0.489,0.48,0.5,0.498,0.517,0.469,0.52,0.484,0.492,0.481,0.5
0.507,0.478,0.511,0.465,0.468,0.474,0.485,0.469,0.485,0.476,0.514,0.486
0.469,0.485,0.462,0.474,0.501,0.516,0.483,0.516,0.489,0.49,0.473,0.493
0.477,0.533,0.479,0.458,0.491,0.491,0.484,0.463,0.475,0.481,0.506,0.485
0.494,0.497,0.497,0.445,0.511,0.483,0.476,0.528,0.499,0.485,0.48,0.495
0.477,0.52,0.472,0.455,0.481,0.477,0.491,0.483,0.494,0.481,0.511,0.492
0.496,0.472,0.489,0.47,0.515,0.458,0.482,0.524,0.473,0.49,0.481,0.452
0.492,0.494,0.505,0.475,0.455,0.475,0.496,0.483,0.468,0.483,0.516,0.473
0.478,0.485,0.487,0.481,0.51,0.501,0.454,0.456,0.468,0.48,0.465,0.509
